2020-06-21 10:28:55.411 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - Starting MybatisApplication on weiheng with PID 14356 (D:\Users\IdeaProjects\mybatisTest02\target\classes started by Thinkpad in D:\Users\IdeaProjects\mybatisTest02)
2020-06-21 10:28:55.415 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - No active profile set, falling back to default profiles: default
2020-06-21 10:28:57.176 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-21 10:28:57.177 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-21 10:28:57.178 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-06-21 10:28:57.477 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-06-21 10:28:57.485 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mybatis] - Initializing Spring embedded WebApplicationContext
2020-06-21 10:28:58.266 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-21 10:28:58.314 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - Started MybatisApplication in 3.618 seconds (JVM running for 6.462)
2020-06-21 10:29:17.824 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-21 10:31:37.326 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - Starting MybatisApplication on weiheng with PID 11076 (D:\Users\IdeaProjects\mybatisTest02\target\classes started by Thinkpad in D:\Users\IdeaProjects\mybatisTest02)
2020-06-21 10:31:37.332 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - No active profile set, falling back to default profiles: default
2020-06-21 10:31:39.113 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-21 10:31:39.114 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-21 10:31:39.114 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-06-21 10:31:39.436 [restartedMain] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-06-21 10:31:39.442 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mybatis] - Initializing Spring embedded WebApplicationContext
2020-06-21 10:31:40.234 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-21 10:31:40.287 [restartedMain] INFO  com.example.mybatis02.mybatis.MybatisApplication - Started MybatisApplication in 3.731 seconds (JVM running for 6.648)
2020-06-21 10:31:43.004 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/mybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
